ID,INCIDENT,PENALTY,VICTIM,SCORE,LOCATION,COUNTRY,DATE,WHEN,MOON_NIGHT_BEFORE
986,not bite,Suspended for several games,midfielder,Winning,opponent team penalty area,Uruguay,3/9/2002,85,No Moon
987,not bite,Not Caught,midfielder,Draw at a time,his team penalty area,Uruguay,1/9/2003,34,No Moon
988,not bite,yellow card,midfielder,Losing,opponent team penalty area,Uruguay,8/17/1992,8,No Moon
989,bite,Yellow card,spectator,Draw at a time,off field,Uruguay,10/21/2003,83,Full
990,bite,None,spectator,Losing,off field,Netherlands,5/14/2010,18,Full
991,not bite,Not Caught,journalist,Winning,off field,Netherlands,2/3/2010,83,No Moon
992,not bite,Yellow card,midfielder,Draw at a time,his team penalty area,Netherlands,8/13/2007,3,No Moon
993,bite,Suspended for several games,journalist,Losing,off field,Netherlands,10/17/2013,83,Full
994,not bite,Not Caught,journalist,Draw at a time,off field,Netherlands,5/26/2011,80,Half
995,bite,None,defender,Losing,his team penalty area,Uruguay,12/30/2000,41,Half
996,not bite,Not Caught,referee,Draw at a time,off field,Netherlands,11/5/2013,19,Half
997,bite,Red Card,goalkeeper,Draw at a time,midfield,Uruguay,3/14/2004,84,Full
998,not bite,Suspended for several games,journalist,Draw at a time,off field,Uruguay,7/29/1999,6,No Moon
999,bite,yellow card,spectator,Losing,off field,Uruguay,1/31/2001,12,Half
1000,bite,Red Card,None,Losing,off field,Uruguay,4/20/2003,47,Half
1001,bite,Yellow card,referee,Losing,No location,England,5/20/2002,18,Full
1002,bite,Yellow card,referee,Draw at a time,his team penalty area,England,8/1/2013,65,Full
1003,not bite,Suspended for several games,midfielder,Draw at a time,off field,Uruguay,12/3/1997,6,Half
1004,bite,yellow card,goalkeeper,Losing,opponent team penalty area,Uruguay,10/19/2001,56,Half
1005,bite,Suspended for several games,journalist,Draw at a time,off field,England,11/22/2000,24,Full
1006,bite,Red Card,goalkeeper,Losing,his team penalty area,Uruguay,2/6/2002,32,Half
1007,not bite,None,None,Winning,No location,Netherlands,7/24/2009,91,Half
1008,not bite,None,None,Winning,No location,Uruguay,2/20/1996,91,Half
1009,not bite,Yellow card,midfielder,Losing,midfield,Uruguay,12/17/1992,84,No Moon
1010,bite,None,None,Draw at a time,his team penalty area,Uruguay,7/22/1993,21,Full
1011,bite,Not Caught,spectator,Losing,off field,Uruguay,1/10/2001,83,Full
1012,bite,Yellow card,spectator,Losing,off field,Netherlands,10/31/2006,91,Full
1013,bite,Suspended for several games,midfielder,Losing,opponent team penalty area,Uruguay,6/18/2006,34,Half
1014,not bite,None,spectator,Draw at a time,off field,Netherlands,7/13/2009,59,Half
1015,not bite,Not Caught,referee,Draw at a time,off field,Netherlands,1/3/2011,40,Half
1016,not bite,Suspended for several games,forward,Winning,his team penalty area,Uruguay,4/18/1997,46,Half
1017,bite,Suspended for several games,forward,Draw at a time,midfield,England,10/31/2007,49,Full
1018,not bite,None,None,Winning,No location,Netherlands,7/15/2010,91,No Moon
1019,not bite,Not Caught,referee,Draw at a time,his team penalty area,Uruguay,4/2/2003,45,Half
1020,bite,None,spectator,Draw at a time,off field,Uruguay,10/9/2002,89,Half
1021,not bite,yellow card,midfielder,Draw at a time,off field,Netherlands,6/29/2009,28,No Moon
1022,not bite,Suspended for several games,goalkeeper,Losing,his team penalty area,England,8/21/2005,44,Full
1023,bite,Not Caught,None,Draw at a time,his team penalty area,Uruguay,9/18/1993,3,Half
1024,not bite,None,None,Winning,No location,Netherlands,7/2/2008,91,No Moon
1025,not bite,None,None,Winning,No location,Uruguay,3/30/2004,91,No Moon
1026,not bite,yellow card,spectator,Winning,off field,Uruguay,9/20/1999,36,Half
1027,bite,Yellow card,spectator,Losing,his team penalty area,Uruguay,4/28/2000,90,Full
1028,not bite,None,None,Winning,No location,Netherlands,6/1/2008,91,No Moon
1029,bite,Yellow card,journalist,Losing,off field,Netherlands,3/25/2014,39,Full
1030,not bite,yellow card,spectator,Draw at a time,off field,Uruguay,10/27/1994,36,Half
1031,not bite,Yellow card,spectator,Winning,off field,Uruguay,9/14/2005,66,Half
1032,not bite,Red Card,defender,Draw at a time,midfield,Netherlands,8/6/2011,5,Full
1033,not bite,Yellow card,None,Winning,his team penalty area,Netherlands,10/31/2008,4,No Moon
1034,bite,None,None,Draw at a time,opponent team penalty area,Netherlands,11/17/2007,90,Half
1035,not bite,None,None,Winning,No location,Uruguay,4/4/1995,91,Half
1036,not bite,Not Caught,forward,Draw at a time,his team penalty area,Netherlands,10/7/2006,5,Full
1037,not bite,Red Card,None,Draw at a time,midfield,Uruguay,11/2/2001,79,No Moon
1038,bite,None,defender,Draw at a time,opponent team penalty area,Netherlands,10/9/2010,83,Half
1039,not bite,Red Card,goalkeeper,Draw at a time,his team penalty area,Uruguay,5/21/2003,44,Full
1040,not bite,yellow card,goalkeeper,Winning,midfield,Netherlands,9/10/2009,32,No Moon
1041,bite,Suspended for several games,spectator,Losing,off field,Uruguay,9/20/2009,87,No Moon
1042,not bite,None,None,Winning,No location,Netherlands,5/14/2007,91,Half
1043,bite,Red Card,goalkeeper,Losing,opponent team penalty area,Uruguay,2/27/1999,88,Half
1044,not bite,Red Card,referee,Losing,midfield,Uruguay,7/19/1998,89,No Moon
1045,not bite,yellow card,defender,Draw at a time,opponent team penalty area,Netherlands,4/16/2011,30,No Moon
1046,bite,Suspended for several games,goalkeeper,Losing,off field,Uruguay,5/2/2004,88,Full
1047,not bite,None,None,Winning,No location,England,12/9/2013,91,No Moon
1048,bite,Suspended for several games,goalkeeper,Losing,his team penalty area,England,10/9/2010,23,Full
1049,bite,Yellow card,forward,Losing,off field,Uruguay,12/6/1993,52,Full
1050,not bite,Red Card,defender,Winning,off field,Netherlands,9/23/2010,50,Full
1051,bite,Suspended for several games,journalist,Losing,off field,Uruguay,1/26/2005,86,Half
1052,not bite,Red Card,referee,Losing,opponent team penalty area,Uruguay,10/10/2001,48,No Moon
1053,bite,Red Card,referee,Losing,midfield,Uruguay,11/23/1993,1,Full
1054,bite,yellow card,None,Losing,midfield,Uruguay,7/8/2000,84,Full
1055,bite,yellow card,defender,Losing,No location,England,5/9/2001,86,Half
1056,not bite,yellow card,spectator,Draw at a time,off field,Uruguay,12/13/1993,90,No Moon
1057,bite,Not Caught,goalkeeper,Losing,opponent team penalty area,Uruguay,8/1/1999,29,Full
1058,bite,None,goalkeeper,Losing,No location,England,9/14/2001,86,Half
1059,not bite,Yellow card,journalist,Draw at a time,off field,Uruguay,8/28/1996,9,Full
1060,not bite,None,None,Winning,No location,England,7/23/2012,91,No Moon
1061,bite,Yellow card,forward,Losing,off field,Uruguay,7/12/1997,88,Full
1062,not bite,Yellow card,forward,Winning,off field,Uruguay,1/3/2000,31,Full
1063,bite,None,goalkeeper,Winning,off field,Netherlands,2/15/1999,54,Full
1064,bite,Yellow card,defender,Losing,opponent team penalty area,Uruguay,9/25/1997,90,Full
1065,bite,None,midfielder,Draw at a time,midfield,Uruguay,8/18/1995,90,Full
1066,bite,Red Card,journalist,Losing,off field,Uruguay,3/13/2005,57,Half
1067,not bite,yellow card,goalkeeper,Winning,opponent team penalty area,Uruguay,7/27/1994,31,Half
1068,not bite,Yellow card,goalkeeper,Winning,opponent team penalty area,Uruguay,4/23/1993,42,No Moon
1069,not bite,Yellow card,spectator,Draw at a time,off field,Uruguay,11/15/2004,84,No Moon
1070,not bite,None,None,Winning,No location,Uruguay,9/5/1999,91,No Moon
1071,not bite,Yellow card,spectator,Draw at a time,off field,Netherlands,9/12/2007,12,No Moon
1072,not bite,Yellow card,defender,Winning,midfield,Uruguay,11/14/1999,90,No Moon
1073,bite,Yellow card,spectator,Draw at a time,off field,Uruguay,5/9/1999,82,Half
1074,bite,Not Caught,spectator,Draw at a time,off field,Uruguay,6/6/1998,48,Full
1075,not bite,Not Caught,forward,Winning,off field,Uruguay,5/6/1996,66,No Moon
1076,not bite,Yellow card,None,Draw at a time,off field,Netherlands,2/18/2008,27,Full
1077,bite,yellow card,defender,Losing,opponent team penalty area,Uruguay,4/3/2005,64,Full
1078,not bite,Red Card,forward,Winning,his team penalty area,Uruguay,5/13/1999,87,No Moon
1079,not bite,None,None,Winning,No location,Uruguay,7/7/1996,91,Half
1080,not bite,Suspended for several games,forward,Winning,opponent team penalty area,Uruguay,7/9/1997,32,Half
1081,bite,Red Card,goalkeeper,Losing,off field,Uruguay,9/1/1999,33,Full
1082,not bite,Suspended for several games,journalist,Draw at a time,off field,Netherlands,12/5/2013,32,Full
1083,not bite,None,None,Winning,No location,Netherlands,12/4/2009,91,No Moon
1084,bite,yellow card,None,Losing,his team penalty area,Uruguay,2/11/1996,34,Half
1085,not bite,Red Card,journalist,Winning,off field,Uruguay,8/3/2002,12,Half
1086,bite,Red Card,defender,Draw at a time,midfield,Uruguay,9/11/1999,84,Half
1087,bite,Yellow card,referee,Losing,off field,Uruguay,7/10/2001,17,Full
1088,bite,Not Caught,journalist,Losing,midfield,England,6/4/2010,82,Full
1089,not bite,None,None,Winning,opponent team penalty area,Uruguay,6/27/1992,65,Half
1090,not bite,Red Card,None,Draw at a time,off field,Uruguay,9/10/2012,58,Half
1091,not bite,Suspended for several games,spectator,Draw at a time,off field,Netherlands,2/25/2011,28,Full
1092,not bite,None,None,Winning,No location,Uruguay,7/28/2001,91,No Moon
1093,not bite,None,None,Winning,No location,Netherlands,3/12/2009,91,Half
1094,not bite,Not Caught,journalist,Draw at a time,off field,Netherlands,9/6/2009,4,Half
1095,not bite,None,spectator,Winning,off field,Uruguay,5/19/2003,29,No Moon
1096,bite,Yellow card,referee,Losing,midfield,Netherlands,9/19/2008,70,Half
1097,not bite,Not Caught,None,Losing,off field,England,6/15/2010,90,No Moon
1098,not bite,None,None,Winning,No location,Uruguay,7/12/2006,91,No Moon
1099,bite,Suspended for several games,spectator,Losing,off field,Uruguay,12/3/2004,63,Half
1100,not bite,yellow card,spectator,Winning,off field,Uruguay,11/30/1993,45,Half
1101,not bite,Suspended for several games,goalkeeper,Draw at a time,his team penalty area,Uruguay,1/19/1995,87,No Moon
1102,not bite,Suspended for several games,spectator,Draw at a time,off field,Uruguay,5/23/1994,33,No Moon
1103,not bite,Red Card,referee,Draw at a time,his team penalty area,Netherlands,8/5/2011,79,No Moon
1104,bite,Suspended for several games,goalkeeper,Losing,midfield,England,8/20/1993,24,Full
1105,not bite,yellow card,journalist,Draw at a time,off field,Netherlands,3/14/2012,64,Half
1106,not bite,None,None,Winning,No location,Netherlands,2/12/2012,91,No Moon
1107,not bite,Suspended for several games,defender,Winning,off field,Uruguay,10/27/2005,44,Half
1108,bite,Yellow card,None,Draw at a time,his team penalty area,Netherlands,6/29/2006,20,Full
1109,not bite,Not Caught,defender,Winning,opponent team penalty area,Uruguay,10/28/2004,33,No Moon
1110,bite,Not Caught,defender,Losing,No location,England,6/7/2012,28,Full
1111,not bite,Suspended for several games,goalkeeper,Winning,his team penalty area,Uruguay,11/26/2002,45,No Moon
1112,bite,Not Caught,goalkeeper,Losing,opponent team penalty area,Netherlands,5/30/2009,31,Full
1113,not bite,Suspended for several games,forward,Winning,opponent team penalty area,Uruguay,7/6/1997,75,Half
1114,not bite,None,spectator,Winning,off field,Netherlands,1/19/2010,80,No Moon
1115,not bite,Red Card,midfielder,Winning,opponent team penalty area,Netherlands,11/7/2007,63,Half
1116,bite,None,forward,Losing,midfield,Netherlands,4/1/2007,53,Full
1117,bite,Not Caught,None,Losing,midfield,Uruguay,5/16/1999,2,Full
1118,not bite,yellow card,referee,Winning,midfield,Uruguay,5/16/2002,72,No Moon
1119,not bite,None,None,Winning,No location,Uruguay,2/23/1995,91,No Moon
1120,not bite,Red Card,forward,Losing,midfield,Uruguay,7/13/1996,40,No Moon
1121,not bite,Not Caught,midfielder,Draw at a time,off field,Uruguay,3/8/1997,74,No Moon
1122,not bite,yellow card,referee,Winning,midfield,Uruguay,1/29/1993,73,Half
1123,bite,Red Card,None,Losing,his team penalty area,Netherlands,6/5/2010,67,Full
1124,not bite,None,None,Winning,No location,Netherlands,11/7/2011,91,Half
1125,not bite,None,None,Winning,No location,Uruguay,1/31/1997,91,Half
1126,bite,Red Card,journalist,Losing,off field,England,3/8/2014,86,Full
1127,bite,None,forward,Losing,midfield,England,10/25/2001,89,No Moon
1128,not bite,None,None,Winning,No location,Netherlands,3/2/2011,91,Half
1129,not bite,None,None,Winning,No location,Uruguay,3/3/2002,91,No Moon
1130,not bite,Not Caught,defender,Draw at a time,midfield,Uruguay,7/19/1997,18,No Moon
1131,bite,Red Card,journalist,Draw at a time,off field,Uruguay,8/15/2006,82,Full
1132,not bite,Red Card,goalkeeper,Winning,opponent team penalty area,Uruguay,10/24/2005,25,No Moon
1133,not bite,Yellow card,midfielder,Winning,opponent team penalty area,Uruguay,6/8/2004,87,No Moon
1134,not bite,Suspended for several games,midfielder,Draw at a time,opponent team penalty area,Netherlands,1/12/2011,67,Full
1135,not bite,Suspended for several games,referee,Draw at a time,off field,England,1/30/2014,38,No Moon
1136,not bite,yellow card,referee,Draw at a time,opponent team penalty area,Uruguay,8/4/2012,37,No Moon
1137,bite,Not Caught,goalkeeper,Losing,opponent team penalty area,Netherlands,9/21/2011,72,Full
1138,bite,yellow card,forward,Losing,his team penalty area,Netherlands,12/1/1998,46,Full
1139,bite,Not Caught,spectator,Draw at a time,off field,Netherlands,7/4/2011,87,Full
1140,not bite,None,None,Winning,No location,Uruguay,2/16/2001,91,Half
1141,not bite,Yellow card,referee,Winning,opponent team penalty area,Uruguay,7/21/1993,89,No Moon
1142,bite,None,defender,Losing,opponent team penalty area,England,9/6/2013,83,Half
1143,bite,Red Card,midfielder,Losing,his team penalty area,Uruguay,9/4/1995,85,Half
1144,not bite,Yellow card,referee,Losing,opponent team penalty area,Uruguay,4/15/2006,15,No Moon
1145,bite,Not Caught,forward,Losing,his team penalty area,Uruguay,8/1/1997,56,Half
1146,not bite,yellow card,goalkeeper,Losing,his team penalty area,Uruguay,7/11/1997,79,No Moon
1147,not bite,Not Caught,spectator,Winning,off field,Netherlands,8/19/2010,37,Half
1148,bite,Not Caught,forward,Losing,his team penalty area,Netherlands,3/29/2007,48,Full
1149,not bite,None,defender,Winning,off field,England,10/10/2012,60,Half
1150,not bite,Yellow card,journalist,Draw at a time,off field,England,4/3/2013,41,Full
1151,not bite,Suspended for several games,referee,Draw at a time,off field,Netherlands,2/26/2010,91,No Moon
1152,not bite,None,None,Winning,No location,Uruguay,6/11/2002,91,Half
1153,not bite,Yellow card,defender,Winning,midfield,Netherlands,8/16/2010,2,Half
1154,bite,None,forward,Winning,opponent team penalty area,England,1/6/2007,38,Full
1155,bite,Suspended for several games,goalkeeper,Losing,off field,Netherlands,2/2/2011,85,Full
1156,bite,Not Caught,forward,Losing,off field,Uruguay,3/19/2006,61,Full
1157,not bite,Red Card,forward,Losing,midfield,Uruguay,8/11/1999,81,No Moon
1158,not bite,Suspended for several games,forward,Draw at a time,off field,England,2/12/2013,60,No Moon
1159,not bite,Red Card,goalkeeper,Losing,off field,Uruguay,1/11/2004,62,No Moon
1160,bite,yellow card,referee,Losing,midfield,Uruguay,8/15/2012,78,Half
1161,not bite,Suspended for several games,journalist,Winning,off field,Uruguay,9/25/1999,77,No Moon
1162,bite,yellow card,journalist,Losing,off field,Netherlands,2/4/2004,86,Full
1163,not bite,None,None,Winning,No location,England,8/29/2012,91,Half
1164,bite,Yellow card,defender,Losing,his team penalty area,Uruguay,7/8/1996,10,Full
1165,bite,Not Caught,None,Losing,midfield,Netherlands,6/6/2003,86,Half
1166,not bite,Red Card,goalkeeper,Winning,his team penalty area,Uruguay,6/4/2005,80,No Moon
1167,not bite,None,None,Draw at a time,opponent team penalty area,Uruguay,3/14/1996,27,No Moon
1168,not bite,Suspended for several games,goalkeeper,Losing,off field,Netherlands,12/30/2009,90,No Moon
1169,not bite,Red Card,goalkeeper,Draw at a time,opponent team penalty area,Uruguay,9/17/2002,83,No Moon
1170,not bite,None,spectator,Draw at a time,off field,Netherlands,5/20/2010,80,Half
1171,not bite,Not Caught,midfielder,Losing,opponent team penalty area,Uruguay,12/1/2002,70,No Moon
1172,not bite,Not Caught,spectator,Winning,off field,Netherlands,9/10/2013,56,No Moon
1173,bite,Red Card,defender,Losing,midfield,Netherlands,10/13/2010,75,Half
1174,bite,Red Card,goalkeeper,Losing,midfield,Uruguay,12/20/2000,70,Full
1175,not bite,yellow card,None,Draw at a time,opponent team penalty area,England,12/14/2013,38,Half
1176,not bite,None,None,Winning,No location,Uruguay,6/16/2004,91,Half
1177,not bite,Not Caught,goalkeeper,Draw at a time,his team penalty area,Netherlands,8/28/2009,80,No Moon
1178,not bite,None,None,Winning,No location,Uruguay,5/29/1995,91,No Moon
1179,not bite,Suspended for several games,goalkeeper,Losing,midfield,Uruguay,9/23/2001,81,No Moon
1180,not bite,None,None,Winning,No location,Netherlands,5/12/2007,91,No Moon
1181,bite,Not Caught,referee,Draw at a time,off field,Uruguay,7/15/1999,84,Full
1182,not bite,None,None,Winning,No location,Netherlands,5/20/2011,91,Half
1183,not bite,Not Caught,spectator,Winning,off field,Netherlands,11/10/2013,60,Half
1184,bite,Red Card,None,Losing,off field,Uruguay,2/8/2005,87,No Moon
1185,not bite,Suspended for several games,goalkeeper,Losing,opponent team penalty area,Netherlands,12/12/2006,83,No Moon
1186,not bite,None,None,Draw at a time,off field,Netherlands,4/18/2011,84,Full
1187,not bite,None,None,Winning,No location,Uruguay,6/25/1995,91,No Moon
1188,not bite,Not Caught,midfielder,Winning,his team penalty area,Netherlands,8/22/2010,19,No Moon
1189,not bite,Suspended for several games,defender,Losing,midfield,Uruguay,4/9/1998,81,No Moon
1190,not bite,Red Card,goalkeeper,Winning,off field,England,10/5/2013,60,Half
1191,bite,Red Card,defender,Losing,off field,Uruguay,8/10/1999,36,Half
1192,bite,Suspended for several games,None,Losing,opponent team penalty area,Netherlands,5/5/2014,88,Half
1193,bite,None,forward,Losing,No location,England,4/4/1995,86,Full
1194,not bite,None,None,Winning,No location,Uruguay,2/8/2005,91,No Moon
1195,bite,yellow card,goalkeeper,Losing,his team penalty area,Uruguay,7/15/2004,13,Half
1196,not bite,None,None,Winning,opponent team penalty area,England,11/5/2013,9,Full
1197,not bite,None,referee,Winning,opponent team penalty area,Uruguay,8/16/2003,66,Half
1198,bite,Not Caught,None,Losing,No location,Netherlands,4/18/2004,74,Full
1199,not bite,None,None,Winning,No location,Netherlands,10/3/2007,91,No Moon
1200,not bite,None,forward,Draw at a time,opponent team penalty area,England,2/14/1994,13,Full
1201,bite,Suspended for several games,forward,Losing,midfield,Uruguay,3/16/2004,2,Half
1202,bite,Yellow card,goalkeeper,Losing,midfield,Uruguay,3/20/2004,3,Half
1203,not bite,Yellow card,journalist,Draw at a time,off field,Uruguay,12/24/1996,37,Full
1204,not bite,None,None,Winning,No location,Uruguay,7/24/1995,91,Half
1205,bite,Red Card,goalkeeper,Draw at a time,opponent team penalty area,Uruguay,3/20/1996,82,Full
1206,not bite,Not Caught,midfielder,Winning,his team penalty area,Uruguay,9/24/1992,81,No Moon
1207,not bite,Red Card,None,Draw at a time,off field,Netherlands,5/25/2010,85,Half
1208,bite,Not Caught,midfielder,Losing,his team penalty area,Netherlands,4/30/2011,50,Half
1209,not bite,None,None,Winning,No location,Uruguay,3/8/1993,91,Half
1210,not bite,None,referee,Winning,off field,Uruguay,2/14/2004,62,No Moon
1211,not bite,None,None,Winning,No location,Uruguay,5/2/1998,91,No Moon
1212,not bite,Yellow card,journalist,Draw at a time,off field,Uruguay,9/18/2005,59,No Moon
1213,bite,Not Caught,None,Winning,off field,Uruguay,10/25/1993,41,Full
1214,bite,Suspended for several games,referee,Losing,opponent team penalty area,Uruguay,10/10/2000,86,Full
1215,not bite,None,None,Winning,No location,Uruguay,6/6/2003,91,No Moon
1216,not bite,Red Card,goalkeeper,Draw at a time,midfield,Uruguay,9/4/2006,48,Full
1217,bite,None,journalist,Losing,off field,Uruguay,1/22/2001,54,Half
1218,bite,Suspended for several games,goalkeeper,Winning,his team penalty area,England,3/16/2010,7,Full
1219,not bite,Red Card,journalist,Losing,off field,Uruguay,8/15/2006,8,No Moon
1220,bite,Not Caught,journalist,Losing,off field,Uruguay,10/22/2002,7,Full
1221,not bite,Suspended for several games,forward,Winning,midfield,Uruguay,5/26/1999,74,Half
1222,not bite,Suspended for several games,goalkeeper,Losing,his team penalty area,Netherlands,5/10/2011,66,No Moon
1223,not bite,yellow card,referee,Winning,off field,Netherlands,4/8/2007,84,Half
1224,not bite,Red Card,goalkeeper,Winning,his team penalty area,Uruguay,12/10/1996,66,No Moon
1225,not bite,None,None,Winning,No location,Netherlands,3/16/2009,91,Half
1226,not bite,None,None,Winning,No location,Netherlands,9/27/2006,91,No Moon
1227,not bite,None,None,Winning,No location,Uruguay,5/5/2014,91,Half
1228,bite,yellow card,forward,Losing,midfield,Uruguay,1/2/2011,82,No Moon
1229,not bite,Yellow card,midfielder,Draw at a time,opponent team penalty area,Uruguay,12/30/2001,37,No Moon
1230,not bite,Yellow card,journalist,Winning,off field,Uruguay,2/11/1994,88,No Moon
1231,bite,Yellow card,defender,Losing,midfield,Netherlands,12/23/2011,35,Half
1232,bite,Suspended for several games,defender,Losing,opponent team penalty area,Netherlands,5/2/2008,3,Half
1233,not bite,yellow card,forward,Winning,off field,Uruguay,10/4/1998,74,No Moon
1234,bite,None,referee,Losing,No location,Netherlands,10/13/1997,42,Full
1235,not bite,Suspended for several games,defender,Draw at a time,off field,Netherlands,3/6/2007,90,No Moon
1236,not bite,Suspended for several games,journalist,Winning,off field,Netherlands,5/10/2010,5,No Moon
1237,bite,yellow card,referee,Winning,No location,Uruguay,3/21/2004,67,Full
1238,not bite,None,None,Winning,No location,Uruguay,5/12/2001,91,Half
1239,bite,yellow card,defender,Losing,opponent team penalty area,Uruguay,12/29/2002,77,Full
1240,not bite,Yellow card,journalist,Draw at a time,off field,Netherlands,10/24/2009,69,Half
1241,not bite,None,None,Winning,No location,Uruguay,8/1/2013,91,Half
1242,bite,Red Card,journalist,Draw at a time,off field,Uruguay,10/25/2001,87,Full
1243,not bite,Not Caught,defender,Winning,midfield,Netherlands,5/6/2012,35,Half
1244,not bite,yellow card,forward,Draw at a time,off field,Uruguay,12/7/1994,90,Half
1245,not bite,Suspended for several games,forward,Winning,his team penalty area,England,8/13/2013,84,No Moon
1246,not bite,Red Card,midfielder,Draw at a time,his team penalty area,Uruguay,5/9/1996,88,No Moon
1247,not bite,Red Card,goalkeeper,Losing,opponent team penalty area,Uruguay,9/11/2002,89,No Moon
1248,not bite,Red Card,goalkeeper,Losing,his team penalty area,Netherlands,10/13/2007,70,No Moon
1249,bite,Suspended for several games,referee,Losing,opponent team penalty area,Uruguay,8/24/2007,85,Full
1250,bite,Red Card,None,Winning,opponent team penalty area,Netherlands,1/14/1994,4,Full
1251,not bite,Yellow card,forward,Winning,his team penalty area,Uruguay,6/3/2004,24,No Moon
1252,not bite,Yellow card,journalist,Draw at a time,off field,Netherlands,7/12/2009,70,No Moon
1253,bite,yellow card,defender,Winning,his team penalty area,England,8/20/1999,13,Full
1254,bite,Not Caught,referee,Winning,opponent team penalty area,Netherlands,12/2/2009,48,Full
1255,not bite,Red Card,spectator,Losing,off field,Uruguay,4/11/1994,83,No Moon
1256,not bite,Suspended for several games,forward,Draw at a time,off field,Netherlands,2/25/2007,7,No Moon
1257,bite,None,defender,Losing,No location,Uruguay,9/8/2011,18,Full
1258,not bite,None,spectator,Winning,off field,Uruguay,1/2/2004,80,Half
1259,bite,Not Caught,spectator,Losing,off field,Netherlands,11/23/2008,37,Half
1260,not bite,None,None,Winning,No location,Uruguay,9/8/1992,91,No Moon
1261,not bite,Yellow card,forward,Draw at a time,opponent team penalty area,Uruguay,5/2/2014,54,No Moon
1262,bite,yellow card,defender,Losing,midfield,England,4/24/2005,91,Full
1263,not bite,Red Card,spectator,Winning,off field,Uruguay,6/8/2003,45,Full
1264,not bite,None,None,Winning,No location,Netherlands,9/6/2009,91,Half
1265,not bite,None,None,Winning,No location,Uruguay,10/13/1996,91,No Moon
1266,not bite,Red Card,midfielder,Draw at a time,off field,Uruguay,7/5/2006,22,No Moon
1267,not bite,Not Caught,defender,Winning,off field,Uruguay,3/6/2001,18,Half
1268,not bite,Suspended for several games,midfielder,Winning,off field,Netherlands,11/7/2013,38,Half
1269,bite,Red Card,None,Losing,off field,England,8/18/2002,44,Full
1270,not bite,Yellow card,defender,Losing,his team penalty area,Uruguay,8/26/1992,89,No Moon
1271,not bite,yellow card,referee,Winning,opponent team penalty area,Uruguay,5/13/1997,15,Half
1272,bite,Not Caught,midfielder,Losing,his team penalty area,England,1/16/2003,86,No Moon
1273,not bite,None,None,Winning,No location,Netherlands,3/5/2007,91,Half
1274,not bite,yellow card,None,Winning,off field,Netherlands,12/4/2009,26,No Moon
1275,not bite,None,None,Winning,No location,Uruguay,10/7/2003,91,Half
1276,not bite,Not Caught,midfielder,Winning,opponent team penalty area,Uruguay,6/10/1992,67,No Moon
1277,bite,yellow card,goalkeeper,Losing,opponent team penalty area,Netherlands,7/31/1997,23,Full
1278,bite,Not Caught,forward,Draw at a time,his team penalty area,England,9/15/2012,81,Full
1279,bite,Yellow card,journalist,Losing,off field,Uruguay,8/14/2001,11,Half
1280,bite,Not Caught,None,Draw at a time,off field,Uruguay,11/20/1995,75,Full
1281,not bite,None,None,Winning,No location,Uruguay,12/13/2000,91,Half
1282,not bite,None,forward,Winning,midfield,Uruguay,1/23/1996,90,No Moon
1283,not bite,Red Card,midfielder,Draw at a time,off field,Netherlands,4/12/2012,56,No Moon
1284,not bite,Red Card,referee,Draw at a time,midfield,Uruguay,7/13/2003,78,No Moon
1285,not bite,Red Card,spectator,Winning,off field,Uruguay,2/28/1997,56,Half
1286,bite,None,defender,Losing,off field,Netherlands,3/15/1996,14,Full
1287,bite,Yellow card,journalist,Losing,off field,Uruguay,5/21/1998,51,Half
1288,not bite,yellow card,goalkeeper,Winning,opponent team penalty area,Netherlands,11/15/2013,73,No Moon
1289,not bite,yellow card,journalist,Draw at a time,off field,Netherlands,11/18/2011,7,No Moon
1290,not bite,None,None,Winning,No location,Netherlands,1/6/2007,91,No Moon
1291,bite,yellow card,forward,Losing,off field,Netherlands,5/13/2012,41,Full
1292,not bite,None,defender,Winning,opponent team penalty area,Netherlands,3/30/2009,2,Half
1293,not bite,None,None,Winning,No location,Netherlands,9/7/2010,91,No Moon
1294,not bite,Red Card,forward,Draw at a time,off field,Uruguay,3/22/2000,90,No Moon
1295,bite,Yellow card,referee,Draw at a time,off field,Uruguay,11/18/1997,82,Half
1296,bite,Red Card,journalist,Losing,off field,Uruguay,4/2/1997,57,Half
1297,not bite,None,None,Winning,No location,Uruguay,3/23/1996,91,Half
1298,not bite,None,None,Winning,No location,Uruguay,6/4/1994,91,Half
1299,not bite,None,None,Winning,No location,Uruguay,6/26/1992,91,Half
1300,not bite,Suspended for several games,journalist,Winning,off field,Uruguay,3/16/2000,26,No Moon
1301,bite,None,forward,Losing,midfield,Netherlands,7/7/2010,72,Half
1302,not bite,Not Caught,journalist,Winning,off field,Netherlands,3/20/2011,72,Half
1303,not bite,Suspended for several games,forward,Draw at a time,midfield,Uruguay,3/22/2004,2,Half
1304,not bite,Red Card,spectator,Draw at a time,off field,England,7/25/2013,82,Full
1305,not bite,yellow card,None,Winning,his team penalty area,Netherlands,10/27/2009,63,Half
1306,not bite,Suspended for several games,journalist,Losing,off field,Uruguay,11/13/2012,30,No Moon
1307,not bite,None,None,Winning,No location,Netherlands,1/17/2008,91,Half
1308,not bite,Not Caught,referee,Draw at a time,opponent team penalty area,Netherlands,4/27/2012,12,Full
1309,not bite,None,None,Winning,No location,England,8/14/2012,91,Half
